scriptid,category,populated,disposition,new_label,xo_source,live_references,searches,forms,pdf_templates,pipeline_refs(retire together),notes
custitem_la_active,la_gen2,332719,RETIRE,,,,0,3,0,3,
custitem_la_ada,la_field,22720,RETIRE,,,,0,3,0,2,
custitem_la_airflow_efficiency,la_field,10654,RETIRE,,,,0,3,0,2,
custitem_la_alt_small_thumb_1,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_base_item_number,la_field,7,RETIRE,,,Unified Catalog Analysis MR [ACTIVE],0,3,0,0,
custitem_la_beam_spread,la_field,19600,RETIRE,,,,0,3,0,2,
custitem_la_blade_finish,la_field,11427,RETIRE,,,,0,3,0,2,
custitem_la_blade_pitch,la_field,9387,RETIRE,,,,0,3,0,2,
custitem_la_blade_qty,la_field,9207,RETIRE,,,,0,3,0,2,
custitem_la_blade_span,la_field,9627,RETIRE,,,,0,3,0,2,
custitem_la_blade_type,la_field,10269,RETIRE,,,,0,3,0,2,
custitem_la_bulbs_included,la_field,643943,RETIRE,,,,0,3,0,3,
custitem_la_bulb_base,keep20,474256,RELABEL,Bulb Base,Extra-Bulb Base,,0,3,0,4,
custitem_la_bulb_type,keep20,427670,RELABEL,Bulb Type,Extra-Bulb Type,,0,3,0,4,
custitem_la_canopy,la_field,17,RETIRE,,,,0,3,0,0,
custitem_la_cartons_per_unit,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_carton_volume,la_field,149084,RETIRE,,,,0,3,0,2,
custitem_la_cfm_range,la_field,1,RETIRE,,,,0,3,0,0,
custitem_la_chain,la_field,73713,RETIRE,,,,0,3,0,2,
custitem_la_collection,keep20,557535,RELABEL,Collection,Family,,1,3,0,2,
custitem_la_color_temperature,keep20,222579,RELABEL,Kelvin,Extra-Kelvin,Item Record Quick Report [ACTIVE] | Unified Catalog Analysis MR [ACTIVE],1,3,0,2,
custitem_la_connection,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_cost,retire_resolved,332583,RETIRE (resolved),,,,0,3,0,2,"pricing native: itemvendor.purchaseprice (662,590) is the record"
custitem_la_country_of_origin,la_gen2,257001,RETIRE,,,,0,3,0,2,
custitem_la_cri,keep20,196510,RELABEL,CRI,Extra-Bulb CRI,,0,3,0,2,
custitem_la_crystal,la_field,49030,RETIRE,,,,0,3,0,2,
custitem_la_dark_sky,la_field,3741,RETIRE,,,,0,3,0,2,
custitem_la_date_available,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_designer,la_field,207761,RETIRE,,,,0,3,0,2,
custitem_la_dimensional_weight,la_field,79465,RETIRE,,,,0,3,0,2,
custitem_la_dimmable,keep20,183385,RELABEL,Dimmable,Extra-Bulb Dimmable,,0,3,0,2,
