depid,script,deployid,recordtype,isdeployed,status
4,1,customdeploy_lsa_ue_opportunity,OPPORTUNITY,T,RELEASED
5,1,customdeploy_lsa_ue_prospect,PROSPECT,T,RELEASED
3,1,customdeploy_lsa_ue_lead,LEAD,T,RELEASED
2,1,customdeploy_lsa_ue_customer,CUSTOMER,T,RELEASED
1,1,customdeploy_lsa_ue_contact,CONTACT,T,RELEASED
9,2,customdeploy_lsa_ue_call,PHONECALL,T,RELEASED
8,2,customdeploy_lsa_ue_event,CALENDAREVENT,T,RELEASED
7,2,customdeploy_lsa_ue_note,NOTE,T,RELEASED
6,2,customdeploy_lsa_ue_message,MESSAGE,T,RELEASED
10,2,customdeploy_lsa_ue_task,TASK,T,RELEASED
11,3,customdeploy_lsa_sl_update_lsa,,T,RELEASED
14,4,customdeploy_lsa_massupdate_customer,CUSTOMER,T,RELEASED
12,4,customdeploy_lsa_massupdate_opportunity,OPPORTUNITY,T,RELEASED
13,4,customdeploy_lsa_massupdate_contact,CONTACT,T,RELEASED
15,6,customdeploy_esc_bundle_script,,T,RELEASED
6501,7,customdeploy_snav_bundle_install,,T,RELEASED
6502,8,customdeploy_snav_subsidiary_ue,SUBSIDIARY,T,RELEASED
18,9,customdeploy_snav_generate_css,,T,RELEASED
19,10,customdeploy_translation_suitelet,,T,RELEASED
20,11,customdeploy_snav_service_user_sl,,T,RELEASED
6503,12,customdeploy_snav_suitelet,,T,RELEASED
22,13,customdeploy_snav_service_admin_sl,,T,RELEASED
23,14,customdeploy_snav_copysublogo,,T,NOTSCHEDULED
6504,15,customdeploy_snav_portlet_app,,T,RELEASED
6505,15,customdeploy_snav_portlet,,T,RELEASED
26,16,customdeploy_nwb_bi_setup,,T,RELEASED
27,17,customdeploy_naw_ws_showexceptions,RECORD,T,RELEASED
28,18,customdeploy_3way_ws_checksubsmatchfield,RECORD,T,RELEASED
29,19,customdeploy_iaw_ws_iscustomerfirstinv,INVOICE,T,RELEASED
30,20,customdeploy_naw_ws_check_feature,RECORD,T,RELEASED
31,21,customdeploy_naw_ws_create_exceptionrec,RECORD,T,RELEASED
32,22,customdeploy_naw_ws_delete_exceptionrec,RECORD,T,RELEASED
33,23,customdeploy_naw_ws_get_user_pref,RECORD,T,RELEASED
35,24,customdeploy_naw_ue_delete_exp_vb,VENDORBILL,T,RELEASED
34,24,customdeploy_naw_ue_delete_exp_iv,INVOICE,T,RELEASED
36,25,customdeploy_wd_naw_su_showexc,,T,RELEASED
37,26,customdeploy_nav_ue_navcategoryentry,CUSTOMRECORD_NAV_SHORTCUTGROUP,T,RELEASED
38,27,customdeploy_nav_su_navigationportlet,,T,RELEASED
39,28,customdeploy_nav_su_rolemassupdate_admin,,T,RELEASED
40,29,customdeploy_nav_ss_rolemassupdate,,T,NOTSCHEDULED
41,30,customdeploy_nav_po_navigationportlet,,T,RELEASED
42,31,customdeploy_nav_cs_navcategoryentry,CUSTOMRECORD_NAV_SHORTCUTGROUP,T,RELEASED
43,32,customdeploy_dt_ue_translation,CUSTOMRECORD_DT_TILE,T,RELEASED
44,33,customdeploy_dt_su_translation_query,,T,RELEASED
5616,34,customdeploy_dt_su_updatepage_admin,,T,RELEASED
5617,34,customdeploy_dt_su_updatepage,,T,RELEASED
47,35,customdeploy_dt_su_translation,,T,RELEASED
48,36,customdeploy_dt_su_tile_backend,,T,RELEASED
49,37,customdeploy_dt_ss_updateroles,,T,NOTSCHEDULED
5618,38,customdeploy_dt_portlet_custom_tile,,T,RELEASED
51,39,customdeploy_dt_cs_tile,CUSTOMRECORD_DT_TILE,T,RELEASED
52,40,customdeploy_dt_cs_translation,CUSTOMRECORD_DT_TILE,T,RELEASED
53,41,customdeploy_mh_ss_create_mh,,T,NOTSCHEDULED
54,42,customdeploy_mh_ss_relink_levels_with_cs,,T,NOTSCHEDULED
55,43,customdeploy_mh_ue_configuration_upload,CUSTOMRECORD_MH_XML_CONFIG_UPLOAD_RECORD,T,RELEASED
1777,44,customdeploy_8299_license_client_is,,T,RELEASED
1778,45,customdeploy_8299_check_executing_script,CUSTOMRECORD_8299_LICENSE_CACHE,T,RELEASED
1779,46,customdeploy_8299_manual_request_su,,T,RELEASED
1780,47,customdeploy_8299_client_admin_page,,T,RELEASED
1781,48,customdeploy_8299_su_set_test_mode,,T,RELEASED
1782,49,customdeploy_8299_su_app_get_license,,T,RELEASED
1783,50,customdeploy_8299_su_get_license,,T,RELEASED
1790,51,customdeploy_8299_license_req_ss_0130,,T,NOTSCHEDULED
1789,51,customdeploy_8299_license_req_ss_0100,,T,NOTSCHEDULED
1792,51,customdeploy_8299_license_req_ss_0230,,T,NOTSCHEDULED
1793,51,customdeploy_8299_license_req_ss_0300,,T,NOTSCHEDULED
1794,51,customdeploy_8299_license_req_ss_0330,,T,NOTSCHEDULED
1795,51,customdeploy_8299_license_req_ss_0400,,T,NOTSCHEDULED
1796,51,customdeploy_8299_license_req_ss_0430,,T,NOTSCHEDULED
1797,51,customdeploy_8299_license_req_ss_2200,,T,NOTSCHEDULED
1798,51,customdeploy_8299_license_req_ss_2230,,T,NOTSCHEDULED
1799,51,customdeploy_8299_license_req_ss_2300,,T,NOTSCHEDULED
1800,51,customdeploy_8299_license_req_ss_2330,,T,NOTSCHEDULED
1784,51,customdeploy_8299_license_request_ss,,F,NOTSCHEDULED
1785,51,customdeploy_8299_license_request_manual,,T,NOTSCHEDULED
1786,51,customdeploy_8299_license_request_retry,,T,NOTSCHEDULED
1787,51,customdeploy_8299_license_req_ss_0000,,T,NOTSCHEDULED
1788,51,customdeploy_8299_license_req_ss_0030,,T,NOTSCHEDULED
1791,51,customdeploy_8299_license_req_ss_0200,,T,SCHEDULED
2920,53,customdeploy_2663_batch_approval_notify,CUSTOMRECORD_2663_FILE_ADMIN,T,RELEASED
2921,54,customdeploy_2663_batch_rejection_notify,CUSTOMRECORD_2663_FILE_ADMIN,T,RELEASED
69,55,customdeploy_12793_vprepapp_ue,VENDORPREPAYMENTAPPLICATION,T,RELEASED
2940,56,customdeploy_ep_preference_ue,CUSTOMRECORD_EP_PREFERENCE,F,RELEASED
2941,57,customdeploy_2663_file_format_ue,CUSTOMRECORD_2663_PAYMENT_FILE_FORMAT,F,RELEASED
2922,58,customdeploy_2663_payment_info_ue,VENDORBILL,F,RELEASED
2923,58,customdeploy_2663_payment_info_exp_ue,EXPENSEREPORT,F,RELEASED
2924,58,customdeploy_2663_payment_info_pay_ue,VENDORPAYMENT,F,RELEASED
2925,58,customdeploy_2663_payment_info_je_ue,JOURNALENTRY,F,RELEASED
2931,58,customdeploy_2663_payment_info_inv_ue,INVOICE,F,RELEASED
2927,58,customdeploy_2663_payment_info_casref_ue,CASHREFUND,F,RELEASED
2928,58,customdeploy_2663_payment_info_cr_ue,CUSTOMERREFUND,F,RELEASED
2929,58,customdeploy_2663_payment_info_cm_ue,CREDITMEMO,F,RELEASED
2930,58,customdeploy_2663_payment_info_cuspay_ue,CUSTOMERPAYMENT,F,RELEASED
2926,58,customdeploy_2663_payment_info_check_ue,CHECK,F,RELEASED
2934,59,customdeploy_2663_payment_file_mgmt_ue,CUSTOMRECORD_2663_FILE_ADMIN,F,RELEASED
2936,60,customdeploy_2663_vendor_ue,VENDOR,F,RELEASED
2939,60,customdeploy_2663_partner_ue,PARTNER,F,RELEASED
2938,60,customdeploy_2663_customer_ue,CUSTOMER,F,RELEASED
2937,60,customdeploy_2663_employee_ue,EMPLOYEE,F,RELEASED
87,61,customdeploy_12194_template_request_ue,CUSTOMRECORD_12194_FILE_TEMPLATE_REQUEST,T,RELEASED
89,62,customdeploy_9997_dd_payment_ue,CUSTOMERPAYMENT,T,RELEASED
88,62,customdeploy_9997_eft_payment_ue,VENDORPAYMENT,T,RELEASED
90,62,customdeploy__9997_vendor_prepayment_ue,VENDORPREPAYMENT,T,RELEASED
91,63,customdeploy_10782_entity_bank_ue,CUSTOMRECORD_2663_ENTITY_BANK_DETAILS,T,RELEASED
92,64,customdeploy_12050_payment_file_mgmt_ue,CUSTOMRECORD_2663_FILE_ADMIN,T,RELEASED
93,66,customdeploy_10782_bank_details_ue,CUSTOMRECORD_2663_BANK_DETAILS,T,RELEASED
94,67,customdeploy_15152_format_details_ue,CUSTOMRECORD_2663_FORMAT_DETAILS,T,RELEASED
95,68,customdeploy_encryption_details_ue,CUSTOMRECORD_ENCRYPTION_DETAILS,T,RELEASED
96,69,customdeploy_14552_customer_ue,CUSTOMER,T,RELEASED
97,69,customdeploy_14552_employee_ue,EMPLOYEE,T,RELEASED
99,69,customdeploy_14552_vendor_ue,VENDOR,T,RELEASED
98,69,customdeploy_14552_partner_ue,PARTNER,T,RELEASED
2932,70,customdeploy_2663_payment_schedule_ue,CUSTOMRECORD_2663_PAYMENT_SCHEDULE,F,RELEASED
101,71,customdeploy_2663_payment_batch_ue,CUSTOMRECORD_2663_BATCH,T,RELEASED
102,72,customdeploy_11724_bank_fee_ue,CUSTOMRECORD_11724_BANK_FEE_SCHED,T,RELEASED
2933,73,customdeploy_2663_entity_bank_details_ue,CUSTOMRECORD_2663_ENTITY_BANK_DETAILS,F,RELEASED
2935,74,customdeploy_7716_pay_aggregation_ue,CUSTOMRECORD_2663_PAYMENT_AGGREGATION,F,RELEASED
2957,75,customdeploy_15152_file_ref_service_su,,T,RELEASED
106,76,customdeploy_10782_edition_check_su,,T,RELEASED
107,77,customdeploy_8859_batch_selection_main,,T,RELEASED
108,78,customdeploy_2663_resource_mgr_s,,T,RELEASED
2942,79,customdeploy_2663_payment_selection_s,,T,RELEASED
2950,80,customdeploy_9997_trans_unlinker_su,,T,RELEASED
111,81,customdeploy_7716_payment_notification_s,,T,RELEASED
112,82,customdeploy_nacha_setup_page_d,,T,RELEASED
113,83,customdeploy_ep_admin_data_loader_s,,T,RELEASED
115,85,customdeploy_strings_loader,,T,RELEASED
116,86,customdeploy_2663_exchangerates_loader_s,,T,RELEASED
117,87,customdeploy_9997_search_summary_service,,T,RELEASED
118,88,customdeploy_get_customrecord_id,,T,RELEASED
2944,89,customdeploy_2663_jumplet_s,,F,RELEASED
120,90,customdeploy_2663_payment_sel_proc_s,,T,RELEASED
121,91,customdeploy_15152_encryption_suitelet,,T,RELEASED
2947,92,customdeploy_2663_batch_selection_ap_s,,T,RELEASED
123,93,customdeploy_9997_eft_file_generation,,T,RELEASED
124,93,customdeploy_9997_dd_file_generation,,T,RELEASED
125,94,customdeploy_8858_translation_service_su,,T,RELEASED
2952,95,customdeploy_2663_license_updater_s,,T,RELEASED
127,96,customdeploy_2663_batch_updater_s,,T,RELEASED
128,97,customdeploy_2663_field_validator_s,,T,RELEASED
2953,98,customdeploy_2663_payment_pp_selection_s,,T,RELEASED
130,99,customdeploy_8859_batch_updater_su,,T,RELEASED
