scriptid,populated
custitem_la_active,332719
custitem_la_ada,22720
custitem_la_airflow_efficiency,10654
custitem_la_alt_small_thumb_1,0
custitem_la_base_item_number,7
custitem_la_beam_spread,19600
custitem_la_blade_finish,11427
custitem_la_blade_pitch,9387
custitem_la_blade_qty,9207
custitem_la_blade_span,9627
custitem_la_blade_type,10269
custitem_la_bulbs_included,643943
custitem_la_bulb_base,474256
custitem_la_bulb_type,427670
custitem_la_canopy,17
custitem_la_cartons_per_unit,0
custitem_la_carton_volume,149084
custitem_la_cfm_range,1
custitem_la_chain,73713
custitem_la_collection,557535
custitem_la_color_temperature,222579
custitem_la_connection,0
custitem_la_cost,332583
custitem_la_country_of_origin,257001
custitem_la_cri,196510
custitem_la_crystal,49030
custitem_la_dark_sky,3741
custitem_la_date_available,0
custitem_la_designer,207761
custitem_la_dimensional_weight,79465
custitem_la_dimmable,183385
custitem_la_drop_ship,498489
custitem_la_effective_date,0
custitem_la_energy_efficient,0
custitem_la_energy_star,9177
custitem_la_extension,195678
custitem_la_fan_airflow,11681
custitem_la_fan_control,10631
custitem_la_fan_downrod,8971
custitem_la_fan_electricity_use,8861
custitem_la_fan_mounting_system,0
custitem_la_fan_speeds,8020
custitem_la_finish,328451
custitem_la_gas,0
custitem_la_has_imap,7
custitem_la_height,624956
custitem_la_image,532301
custitem_la_imap_multiplier,7
custitem_la_inactivedate,0
custitem_la_instructions,207636
custitem_la_intro_date,189255
custitem_la_la_category,85
custitem_la_la_finish,732
custitem_la_la_glass,0
custitem_la_la_height_range,7
custitem_la_la_mfg_id,0
custitem_la_la_mount,0
custitem_la_la_style_1,7
custitem_la_la_type,7
custitem_la_la_voltage_range,0
custitem_la_la_width_range,7
custitem_la_led,623
custitem_la_length,310721
custitem_la_light_kit,6879
custitem_la_light_output,211307
custitem_la_light_source,383890
custitem_la_list_price,272591
custitem_la_manufacturer_category,5517
custitem_la_manufacturer_finish,323188
custitem_la_manufacturer_glass,414585
custitem_la_manufacturer_name,609162
custitem_la_manufacturer_number,244
custitem_la_manufacturer_stock,7
custitem_la_manufacturer_warranty,290110
custitem_la_master_pack_barcode,0
custitem_la_material,397767
custitem_la_max_wattage,543145
custitem_la_motor_housing,0
custitem_la_motor_mounting,0
custitem_la_motor_size,0
custitem_la_mounting_height,0
custitem_la_multiplier,7
custitem_la_multiplier_price,7
custitem_la_notes,118306
custitem_la_number_of_arms,0
custitem_la_number_of_bulbs,481854
custitem_la_order_minimum,0
custitem_la_parts_diagram,77685
custitem_la_price,328680
custitem_la_price_before_sale,0
custitem_la_price_changed_date,409793
custitem_la_price_no_sale,7
custitem_la_price_range,7
custitem_la_product_name,604365
custitem_la_product_url,519337
custitem_la_rated_average_life,146489
custitem_la_reverse_air,6163
custitem_la_rooms,0
custitem_la_room_1,0
custitem_la_room_2,0
custitem_la_safety_listing,462421
custitem_la_safety_rating,457590
custitem_la_shipped_via,417821
custitem_la_sku,425914
custitem_la_small_thumbnail,7
custitem_la_special_feature,0
custitem_la_spec_sheet,214807
custitem_la_status_date,0
custitem_la_sub_brand,1
custitem_la_suffix,0
custitem_la_switch,4
custitem_la_thumbnail,7
custitem_la_title_20,0
custitem_la_title_24,0
custitem_la_top_to_outlet,0
custitem_la_umap,0
custitem_la_unique_id,668783
custitem_la_unit_increment,7
custitem_la_unit_of_measure,13
custitem_la_upc,276929
custitem_la_voltage,405270
custitem_la_weight_grams,49648
custitem_la_width,316004
custitem_la_width_diameter,80885
custitem_la_wire,195302
custitemcustitem_la_weight,0
custitem_laitem_do_not_update,621245
custitem_lights_sku,332743
custitem5,0
custitem6,703805
custitem7,11676
custitem_atlas_closeout,705114
custitem_atlas_department,0
custitem_atlas_item_image,3
custitem_atlas_season,33
custitem_atlas_style,167984
custitem_solupaysp_engstatus,9261
custitem_solupay_external_itemid,0
custitem_zastro_image_url,1
custitem_zastro_la_updated_at,439856
custitem_zastro_special_order,705114
custitem_zastro_warranty,0
custitem_spec_sheet_link,214265
custitem_webstore_link,0
custitem_category,5852
custitem_no_of_bulbs,135
custitem_publish_item,0
custitem_pr_em_product,1
custitem_isonline,129
custitem_usr_item_category,1
