scriptid,category,total_hits,file_count,surfaces
custitem_la_active,la_gen2,8,7,filecabinet+objects
custitem_la_ada,la_field,6,6,filecabinet+objects
custitem_la_airflow_efficiency,la_field,6,6,filecabinet+objects
custitem_la_alt_small_thumb_1,la_field,4,4,objects
custitem_la_base_item_number,la_field,6,5,filecabinet+objects
custitem_la_beam_spread,la_field,6,6,filecabinet+objects
custitem_la_blade_finish,la_field,6,6,filecabinet+objects
custitem_la_blade_pitch,la_field,6,6,filecabinet+objects
custitem_la_blade_qty,la_field,6,6,filecabinet+objects
custitem_la_blade_span,la_field,6,6,filecabinet+objects
custitem_la_blade_type,la_field,6,6,filecabinet+objects
custitem_la_bulbs_included,la_field,9,7,filecabinet+objects
custitem_la_bulb_base,keep20,8,8,filecabinet+objects
custitem_la_bulb_type,keep20,8,8,filecabinet+objects
custitem_la_canopy,la_field,4,4,objects
custitem_la_cartons_per_unit,la_field,4,4,objects
custitem_la_carton_volume,la_field,6,6,filecabinet+objects
custitem_la_cfm_range,la_field,4,4,objects
custitem_la_chain,la_field,6,6,filecabinet+objects
custitem_la_collection,keep20,7,7,filecabinet+objects
custitem_la_color_temperature,keep20,13,9,filecabinet+objects
custitem_la_connection,la_field,4,4,objects
custitem_la_cost,retire_resolved,6,6,filecabinet+objects
custitem_la_country_of_origin,la_gen2,6,6,filecabinet+objects
custitem_la_cri,keep20,6,6,filecabinet+objects
custitem_la_crystal,la_field,6,6,filecabinet+objects
custitem_la_dark_sky,la_field,6,6,filecabinet+objects
custitem_la_date_available,la_field,4,4,objects
custitem_la_designer,la_field,6,6,filecabinet+objects
custitem_la_dimensional_weight,la_field,6,6,filecabinet+objects
custitem_la_dimmable,keep20,6,6,filecabinet+objects
custitem_la_drop_ship,retire_resolved,6,6,filecabinet+objects
custitem_la_effective_date,la_field,4,4,objects
custitem_la_energy_efficient,la_field,4,4,objects
custitem_la_energy_star,la_field,6,6,filecabinet+objects
custitem_la_extension,la_field,8,8,filecabinet+objects
custitem_la_fan_airflow,la_field,7,7,filecabinet+objects
custitem_la_fan_control,la_field,6,6,filecabinet+objects
custitem_la_fan_downrod,la_field,6,6,filecabinet+objects
custitem_la_fan_electricity_use,la_field,6,6,filecabinet+objects
custitem_la_fan_mounting_system,la_field,4,4,objects
custitem_la_fan_speeds,la_field,6,6,filecabinet+objects
custitem_la_finish,keep20,9,9,filecabinet+objects
custitem_la_gas,la_field,4,4,objects
custitem_la_has_imap,la_field,4,4,objects
custitem_la_height,keep20,8,8,filecabinet+objects
custitem_la_image,keep20,21,16,filecabinet+objects
custitem_la_imap_multiplier,la_field,4,4,objects
custitem_la_inactivedate,la_gen2,5,5,filecabinet+objects
custitem_la_instructions,la_field,6,6,filecabinet+objects
custitem_la_intro_date,la_field,6,6,filecabinet+objects
custitem_la_la_category,la_field,4,4,objects
custitem_la_la_finish,la_field,4,4,objects
custitem_la_la_glass,la_field,4,4,objects
custitem_la_la_height_range,la_field,4,4,objects
custitem_la_la_mfg_id,la_field,4,4,objects
custitem_la_la_mount,la_field,4,4,objects
custitem_la_la_style_1,la_field,4,4,objects
custitem_la_la_type,la_field,4,4,objects
custitem_la_la_voltage_range,la_field,4,4,objects
custitem_la_la_width_range,la_field,4,4,objects
custitem_la_led,la_field,4,4,objects
custitem_la_length,keep20,8,8,filecabinet+objects
custitem_la_light_kit,la_field,6,6,filecabinet+objects
custitem_la_light_output,keep20,6,6,filecabinet+objects
custitem_la_light_source,la_field,6,6,filecabinet+objects
custitem_la_list_price,retire_resolved,16,12,filecabinet+objects
custitem_la_manufacturer_category,la_field,4,4,objects
custitem_la_manufacturer_finish,retire_resolved,13,9,filecabinet+objects
custitem_la_manufacturer_glass,la_field,12,8,filecabinet+objects
custitem_la_manufacturer_name,retire_resolved,18,14,filecabinet+objects
custitem_la_manufacturer_number,la_field,12,10,filecabinet+objects
custitem_la_manufacturer_stock,la_field,4,4,objects
custitem_la_manufacturer_warranty,la_field,6,6,filecabinet+objects
custitem_la_master_pack_barcode,la_field,4,4,objects
custitem_la_material,keep20,6,6,filecabinet+objects
custitem_la_max_wattage,la_field,14,10,filecabinet+objects
custitem_la_motor_housing,la_field,4,4,objects
custitem_la_motor_mounting,la_field,4,4,objects
custitem_la_motor_size,la_field,4,4,objects
custitem_la_mounting_height,la_field,4,4,objects
custitem_la_multiplier,la_field,4,4,objects
custitem_la_multiplier_price,la_field,4,4,objects
custitem_la_notes,la_field,6,6,filecabinet+objects
custitem_la_number_of_arms,la_field,4,4,objects
custitem_la_number_of_bulbs,keep20,8,8,filecabinet+objects
custitem_la_order_minimum,la_field,4,4,objects
custitem_la_parts_diagram,la_field,6,6,filecabinet+objects
custitem_la_price,retire_resolved,6,6,filecabinet+objects
custitem_la_price_before_sale,la_field,4,4,objects
custitem_la_price_changed_date,retire_resolved,6,5,filecabinet+objects
custitem_la_price_no_sale,la_field,4,4,objects
custitem_la_price_range,la_field,4,4,objects
custitem_la_product_name,keep20,9,9,filecabinet+objects
custitem_la_product_url,keep20,14,12,filecabinet+objects
custitem_la_rated_average_life,la_field,6,6,filecabinet+objects
custitem_la_reverse_air,la_field,6,6,filecabinet+objects
custitem_la_rooms,la_field,4,4,objects
custitem_la_room_1,la_field,4,4,objects
