id,name,scriptid,scripttype,owner,scriptfile,isinactive
18,3Way Check Subs Match Field WS,customscript_3way_ws_checksubsmatchfield,ACTION,5,51,F
1087,Add Inv. Adj. Items To Stored SO,customscript_add_inv_adj_items_to_so,ACTION,4,204460,F
326,Approve Item Change Request,customscript326,ACTION,5,2969,F
283,Backorder Uncons PO,customscript43,ACTION,5,2466,F
53,Batch Approval Notification,customscript_2663_batch_approval_notify,ACTION,5,1007,F
1063,Batch Approval Notification SS2,customscript_15767_batch_approval_wf,ACTION,-5,193430,F
54,Batch Rejection Notification,customscript_2663_batch_rejection_notify,ACTION,5,1007,F
1064,Batch Rejection Notification SS2,customscript_15767_batch_rejection_wf,ACTION,-5,193428,F
324,Bin Duplication,customscript324,ACTION,8,2665,F
325,Bucket Consolidated PO Items v2,customscript325,ACTION,5,2767,F
807,Calculate Sales Order Percentages,customscript807,ACTION,5,33121,F
2798,Consolidated Purchasing WFA Trigger,customscript_zas_consolidated_wfa,ACTION,5,991943,F
833,Create Invoice off IFUL,customscript833,ACTION,5,83273,F
699,De/Re-Commit Inv,customscript699,ACTION,5,17189,F
19,IAW Is Customer First Invoice WS,customscript_iaw_ws_iscustomerfirstinv,ACTION,5,50,F
581,Internal ID as Code,customscript_internal_as_code,ACTION,8,5319,T
3562,LA SKU to Item WFA,customscript_la_sku_to_item_wfa,ACTION,17891,1475869,F
347,Link PO Back to Sales Order,customscript347,ACTION,5,3000,F
282,Mark Consolidated,customscript3,ACTION,5,2465,F
20,NAW Check Feature Availability WS,customscript_naw_ws_check_feature,ACTION,5,53,F
21,NAW Create Exception Record WS,customscript_naw_ws_create_exceptionrec,ACTION,5,57,F
23,NAW Get User Preferences WS,customscript_naw_ws_get_user_pref,ACTION,5,56,F
17,NAW Show Exceptions WS,customscript_ws_showexceptions,ACTION,5,54,F
22,NAW delete Exception Record WS,customscript_naw_ws_delete_exceptionrec,ACTION,5,55,F
1084,NEW STORED INITIATOR,customscript_pr_new_stored_initiator,ACTION,15382,199594,F
1210,PL Invoice Tax Percentage WFA,customscript1210,ACTION,8,387407,T
806,PL Set User Location on SO WFA,customscript806,ACTION,8,26418,T
5541,Prelin Sent,customscript_prelin_sent,ACTION,17891,1709355,F
803,Premier Lighting Line Item Totals,customscript_pl_lineitem_totals,ACTION,2768,3160,F
2830,Premier Link Connector WFA,customscript_premier_link_connector_wfa,ACTION,8,1028719,F
553,Robson Calculations,customscript553,ACTION,5,4377,F
281,SO Items to Unconsolidated (WF),customscript1,ACTION,5,2464,F
1911,STE WF Transaction Compliance Text Act,customscript_ste_wf_trans_comp_text_act,ACTION,17891,799483,F
3167,Steal Inventory | Action Taker,customscript3167,ACTION,5,1189789,F
304,Stored Inventory Workflow,customscript153,ACTION,5,2642,F
3176,Stored Inventory | Reallocator Action Ta,customscript3176,ACTION,5,1212966,F
280,Sum Total Cost of Unconsolidated,customscript4,ACTION,5,2463,F
2797,Utility | Mark All Consolidated SO,customscript2894,ACTION,5,991942,F
323,WF - 2.0 Create PO - Consolidated,customscript323,ACTION,5,2664,F
292,WF - Auto Close Created Mult Quotes,customscript292,ACTION,5,2475,F
297,WF - Consolidate Items off SO v2,customscript297,ACTION,5,2635,F
832,WF - Mass Gen IFULs,customscript832,ACTION,5,82333,F
318,WF Stored - Mark Shipped,customscript318,ACTION,5,2657,T
319,pr_settaxcode,customscript319,ACTION,8,2658,T
5439,BAI2 Plugin Implementation,customscript_bsp_parser_bai2,BANKSTATEMENTPARSER,17891,1692882,F
5436,CAMT053 Plugin Implementation,customscript_bsp_parser_camt053,BANKSTATEMENTPARSER,17891,1692883,F
588,EU and Other Countries Bank Feeds Parser,customscript_bf_parser_se,BANKSTATEMENTPARSER,3,6206,T
5438,MT940 Plugin Implementation,customscript_bsp_parser_mt940,BANKSTATEMENTPARSER,17891,1692889,F
5437,OFX/QFX Plugin Implementation,customscript_bsp_parser_ofx,BANKSTATEMENTPARSER,17891,1692884,F
587,US and CA Bank Feeds Parser,customscript_bf_parser_bf,BANKSTATEMENTPARSER,3,6207,T
