scriptid,category
custitem_la_active,la_gen2
custitem_la_ada,la_field
custitem_la_airflow_efficiency,la_field
custitem_la_alt_small_thumb_1,la_field
custitem_la_base_item_number,la_field
custitem_la_beam_spread,la_field
custitem_la_blade_finish,la_field
custitem_la_blade_pitch,la_field
custitem_la_blade_qty,la_field
custitem_la_blade_span,la_field
custitem_la_blade_type,la_field
custitem_la_bulbs_included,la_field
custitem_la_bulb_base,keep20
custitem_la_bulb_type,keep20
custitem_la_canopy,la_field
custitem_la_cartons_per_unit,la_field
custitem_la_carton_volume,la_field
custitem_la_cfm_range,la_field
custitem_la_chain,la_field
custitem_la_collection,keep20
custitem_la_color_temperature,keep20
custitem_la_connection,la_field
custitem_la_cost,retire_resolved
custitem_la_country_of_origin,la_gen2
custitem_la_cri,keep20
custitem_la_crystal,la_field
custitem_la_dark_sky,la_field
custitem_la_date_available,la_field
custitem_la_designer,la_field
custitem_la_dimensional_weight,la_field
custitem_la_dimmable,keep20
custitem_la_drop_ship,retire_resolved
custitem_la_effective_date,la_field
custitem_la_energy_efficient,la_field
custitem_la_energy_star,la_field
custitem_la_extension,la_field
custitem_la_fan_airflow,la_field
custitem_la_fan_control,la_field
custitem_la_fan_downrod,la_field
custitem_la_fan_electricity_use,la_field
custitem_la_fan_mounting_system,la_field
custitem_la_fan_speeds,la_field
custitem_la_finish,keep20
custitem_la_gas,la_field
custitem_la_has_imap,la_field
custitem_la_height,keep20
custitem_la_image,keep20
custitem_la_imap_multiplier,la_field
custitem_la_inactivedate,la_gen2
custitem_la_instructions,la_field
custitem_la_intro_date,la_field
custitem_la_la_category,la_field
custitem_la_la_finish,la_field
custitem_la_la_glass,la_field
custitem_la_la_height_range,la_field
custitem_la_la_mfg_id,la_field
custitem_la_la_mount,la_field
custitem_la_la_style_1,la_field
custitem_la_la_type,la_field
custitem_la_la_voltage_range,la_field
custitem_la_la_width_range,la_field
custitem_la_led,la_field
custitem_la_length,keep20
custitem_la_light_kit,la_field
custitem_la_light_output,keep20
custitem_la_light_source,la_field
custitem_la_list_price,retire_resolved
custitem_la_manufacturer_category,la_field
custitem_la_manufacturer_finish,retire_resolved
custitem_la_manufacturer_glass,la_field
custitem_la_manufacturer_name,retire_resolved
custitem_la_manufacturer_number,la_field
custitem_la_manufacturer_stock,la_field
custitem_la_manufacturer_warranty,la_field
custitem_la_master_pack_barcode,la_field
custitem_la_material,keep20
custitem_la_max_wattage,la_field
custitem_la_motor_housing,la_field
custitem_la_motor_mounting,la_field
custitem_la_motor_size,la_field
custitem_la_mounting_height,la_field
custitem_la_multiplier,la_field
custitem_la_multiplier_price,la_field
custitem_la_notes,la_field
custitem_la_number_of_arms,la_field
custitem_la_number_of_bulbs,keep20
custitem_la_order_minimum,la_field
custitem_la_parts_diagram,la_field
custitem_la_price,retire_resolved
custitem_la_price_before_sale,la_field
custitem_la_price_changed_date,retire_resolved
custitem_la_price_no_sale,la_field
custitem_la_price_range,la_field
custitem_la_product_name,keep20
custitem_la_product_url,keep20
custitem_la_rated_average_life,la_field
custitem_la_reverse_air,la_field
custitem_la_rooms,la_field
custitem_la_room_1,la_field
custitem_la_room_2,la_field
custitem_la_safety_listing,keep20
custitem_la_safety_rating,keep20
custitem_la_shipped_via,la_field
custitem_la_sku,la_identity
custitem_la_small_thumbnail,la_field
custitem_la_special_feature,la_field
custitem_la_spec_sheet,retire_resolved
custitem_la_status_date,la_field
